Well_Num,region_name,trend_line_slope,trend_line_int,state,category,period,month,time_scale
408,South Coast,-0.0014,21.9492,Stable,Stable or Increasing,Yearly,NA,All
262,Thompson / Okanagan,0.0285,55.9373,Stable,Stable or Increasing,Yearly,NA,All
258,West Coast,0.0333,10.4346,Moderate Rate of Decline,Moderate Rate of Decline,Yearly,NA,All
260,Cariboo,-0.0643,65.8867,Increasing,Stable or Increasing,Yearly,NA,All
259,South Coast,0.0121,0.8493,Stable,Stable or Increasing,Yearly,NA,All
275,South Coast,-0.0153,5.7353,Stable,Stable or Increasing,Yearly,NA,All
261,Cariboo,0.0031,26.1892,Stable,Stable or Increasing,Yearly,NA,All
380,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
321,West Coast,0.1328,8.7033,Large Rate of Decline,Large Rate of Decline,Yearly,NA,All
290,West Coast,0.0069,0.9137,Stable,Stable or Increasing,Yearly,NA,All
272,South Coast,-0.0183,5.6101,Stable,Stable or Increasing,Yearly,NA,All
047,Thompson / Okanagan,3e-4,6.698,Stable,Stable or Increasing,Yearly,NA,All
376,Cariboo,-0.1268,6.64,Increasing,Stable or Increasing,Yearly,NA,All
399,Thompson / Okanagan,-0.0173,1.8266,Stable,Stable or Increasing,Yearly,NA,All
282,Thompson / Okanagan,0.0438,10.0152,Stable,Stable or Increasing,Yearly,NA,All
284,West Coast,-0.0121,1.0859,Stable,Stable or Increasing,Yearly,NA,All
283,West Coast,0.0068,4.9705,Stable,Stable or Increasing,Yearly,NA,All
286,Northeast,0.1258,9.4858,Large Rate of Decline,Large Rate of Decline,Yearly,NA,All
289,Cariboo,-0.0964,11.8383,Increasing,Stable or Increasing,Yearly,NA,All
287,West Coast,0.0967,3.5956,Moderate Rate of Decline,Moderate Rate of Decline,Yearly,NA,All
288,West Coast,0.0499,13.155,Moderate Rate of Decline,Moderate Rate of Decline,Yearly,NA,All
305,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
291,Kootenay / Boundary,-0.0301,10.3799,Stable,Stable or Increasing,Yearly,NA,All
292,South Coast,0.0134,9.6454,Stable,Stable or Increasing,Yearly,NA,All
293,Omineca,-0.0098,9.3884,Stable,Stable or Increasing,Yearly,NA,All
294,Thompson / Okanagan,0.0094,8.6846,Stable,Stable or Increasing,Yearly,NA,All
343,West Coast,-0.0206,11.7599,Stable,Stable or Increasing,Yearly,NA,All
296,Thompson / Okanagan,-7e-4,4.2061,Stable,Stable or Increasing,Yearly,NA,All
297,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
302,Thompson / Okanagan,-0.01,8.4382,Stable,Stable or Increasing,Yearly,NA,All
304,West Coast,-0.0465,9.6225,Stable,Stable or Increasing,Yearly,NA,All
301,South Coast,-0.0022,17.5192,Stable,Stable or Increasing,Yearly,NA,All
306,Kootenay / Boundary,0.0041,5.4022,Stable,Stable or Increasing,Yearly,NA,All
333,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
313,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
309,Kootenay / Boundary,-0.014,24.1665,Stable,Stable or Increasing,Yearly,NA,All
311,Thompson / Okanagan,NA,NA,Too many missing observations to perform trend analysis,N/A,Yearly,NA,All
319,West Coast,-0.0559,16.4759,Increasing,Stable or Increasing,Yearly,NA,All
312,West Coast,-0.0018,3.5362,Stable,Stable or Increasing,Yearly,NA,All
318,West Coast,-0.023,4.3713,Stable,Stable or Increasing,Yearly,NA,All
314,West Coast,-0.0996,7.4638,Stable,Stable or Increasing,Yearly,NA,All
494,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
341,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
329,West Coast,0.0122,5.6757,Stable,Stable or Increasing,Yearly,NA,All
281,West Coast,-0.007,6.0967,Stable,Stable or Increasing,Yearly,NA,All
264,Thompson / Okanagan,NA,NA,Too many missing observations to perform trend analysis,N/A,Yearly,NA,All
268,West Coast,-0.0011,0.2178,Stable,Stable or Increasing,Yearly,NA,All
332,Thompson / Okanagan,-0.0056,18.1731,Stable,Stable or Increasing,Yearly,NA,All
447,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
334,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
337,West Coast,-0.1253,17.364,Stable,Stable or Increasing,Yearly,NA,All
340,West Coast,0.0614,20.8447,Moderate Rate of Decline,Moderate Rate of Decline,Yearly,NA,All
335,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
394,West Coast,-0.0213,12.1768,Stable,Stable or Increasing,Yearly,NA,All
396,West Coast,-0.0215,1.5,Stable,Stable or Increasing,Yearly,NA,All
342,Omineca,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
345,West Coast,-0.0056,53.2211,Stable,Stable or Increasing,Yearly,NA,All
347,Cariboo,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
348,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
422,Thompson / Okanagan,-0.1224,9.8761,Stable,Stable or Increasing,Yearly,NA,All
349,South Coast,0.0217,2.3633,Stable,Stable or Increasing,Yearly,NA,All
351,West Coast,-0.0238,8.9552,Stable,Stable or Increasing,Yearly,NA,All
356,Thompson / Okanagan,-0.0854,8.4024,Stable,Stable or Increasing,Yearly,NA,All
355,West Coast,0.0096,4.2006,Stable,Stable or Increasing,Yearly,NA,All
372,West Coast,-0.0391,56.1698,Stable,Stable or Increasing,Yearly,NA,All
368,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
369,West Coast,0.0172,1.2396,Stable,Stable or Increasing,Yearly,NA,All
371,West Coast,0.0018,4.5268,Stable,Stable or Increasing,Yearly,NA,All
359,South Coast,0.223,27.42,Large Rate of Decline,Large Rate of Decline,Yearly,NA,All
357,South Coast,-4e-4,10.176,Stable,Stable or Increasing,Yearly,NA,All
354,South Coast,-0.0373,11.7942,Stable,Stable or Increasing,Yearly,NA,All
353,South Coast,0.0061,4.5014,Stable,Stable or Increasing,Yearly,NA,All
352,South Coast,0.011,2.6375,Stable,Stable or Increasing,Yearly,NA,All
361,South Coast,-0.2845,9.2445,Increasing,Stable or Increasing,Yearly,NA,All
362,Kootenay / Boundary,0.0141,3.0055,Stable,Stable or Increasing,Yearly,NA,All
363,Kootenay / Boundary,0.0032,8.1545,Stable,Stable or Increasing,Yearly,NA,All
364,Cariboo,-0.0201,52.9589,Stable,Stable or Increasing,Yearly,NA,All
360,South Coast,-0.0251,5.3637,Stable,Stable or Increasing,Yearly,NA,All
388,West Coast,0.7763,7.4962,Large Rate of Decline,Large Rate of Decline,Yearly,NA,All
373,West Coast,0.0085,2.9749,Stable,Stable or Increasing,Yearly,NA,All
375,Thompson / Okanagan,-0.0097,7.5742,Stable,Stable or Increasing,Yearly,NA,All
365,Thompson / Okanagan,-0.0052,6.4014,Stable,Stable or Increasing,Yearly,NA,All
366,Thompson / Okanagan,-0.5959,8.3619,Increasing,Stable or Increasing,Yearly,NA,All
378,Omineca,-0.0198,34.5899,Stable,Stable or Increasing,Yearly,NA,All
374,Cariboo,-0.0613,38.7094,Increasing,Stable or Increasing,Yearly,NA,All
381,Thompson / Okanagan,-0.0538,5.973,Stable,Stable or Increasing,Yearly,NA,All
464,Thompson / Okanagan,-0.1191,5.8612,Stable,Stable or Increasing,Yearly,NA,All
383,West Coast,0.0057,49.5027,Stable,Stable or Increasing,Yearly,NA,All
384,Thompson / Okanagan,0.0126,80.3611,Stable,Stable or Increasing,Yearly,NA,All
377,Skeena,0.0399,25.5426,Stable,Stable or Increasing,Yearly,NA,All
395,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
387,Thompson / Okanagan,0.0629,5.5357,Stable,Stable or Increasing,Yearly,NA,All
385,West Coast,0.0016,13.0968,Stable,Stable or Increasing,Yearly,NA,All
386,Skeena,0.0287,1.0338,Stable,Stable or Increasing,Yearly,NA,All
401,Thompson / Okanagan,0.0368,3.9337,Stable,Stable or Increasing,Yearly,NA,All
402,Thompson / Okanagan,0.1018,11.1985,Stable,Stable or Increasing,Yearly,NA,All
406,South Coast,0.0318,2.6263,Moderate Rate of Decline,Moderate Rate of Decline,Yearly,NA,All
389,West Coast,-0.0175,3.1483,Stable,Stable or Increasing,Yearly,NA,All
392,West Coast,-0.1335,24.8543,Increasing,Stable or Increasing,Yearly,NA,All
393,West Coast,-0.0408,8.3623,Stable,Stable or Increasing,Yearly,NA,All
391,West Coast,-0.0262,37.4987,Stable,Stable or Increasing,Yearly,NA,All
405,Thompson / Okanagan,0.1278,17.1659,Stable,Stable or Increasing,Yearly,NA,All
407,Thompson / Okanagan,0.0103,11.4578,Stable,Stable or Increasing,Yearly,NA,All
404,Thompson / Okanagan,0.0216,22.7898,Stable,Stable or Increasing,Yearly,NA,All
403,Thompson / Okanagan,0.0784,37.5166,Stable,Stable or Increasing,Yearly,NA,All
390,West Coast,-0.1536,30.1082,Increasing,Stable or Increasing,Yearly,NA,All
416,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
417,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
418,Northeast,0.0948,59.3133,Stable,Stable or Increasing,Yearly,NA,All
420,Northeast,-0.0068,34.3477,Stable,Stable or Increasing,Yearly,NA,All
409,Thompson / Okanagan,0.0923,11.1387,Stable,Stable or Increasing,Yearly,NA,All
414,South Coast,0.1482,32.5501,Large Rate of Decline,Large Rate of Decline,Yearly,NA,All
415,South Coast,0.2007,40.7409,Large Rate of Decline,Large Rate of Decline,Yearly,NA,All
474,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
423,Thompson / Okanagan,-0.0117,5.2419,Stable,Stable or Increasing,Yearly,NA,All
400,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
411,Thompson / Okanagan,-0.6365,7.4881,Increasing,Stable or Increasing,Yearly,NA,All
410,Thompson / Okanagan,-0.0146,4.6298,Stable,Stable or Increasing,Yearly,NA,All
412,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
445,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
398,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
424,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
442,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
413,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
448,South Coast,0.013,2.7159,Stable,Stable or Increasing,Yearly,NA,All
449,South Coast,0.0128,4.0239,Stable,Stable or Increasing,Yearly,NA,All
425,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
426,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
427,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
428,West Coast,-0.0214,44.0966,Stable,Stable or Increasing,Yearly,NA,All
429,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
430,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
431,West Coast,0.0042,19.6738,Stable,Stable or Increasing,Yearly,NA,All
432,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
433,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
434,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
435,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
450,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
451,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
438,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
452,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
453,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
454,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
436,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
437,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
456,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
457,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
458,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
455,Omineca,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
439,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
441,South Coast,0.0888,14.6762,Stable,Stable or Increasing,Yearly,NA,All
460,South Coast,-0.0312,83.5323,Stable,Stable or Increasing,Yearly,NA,All
461,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
440,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
459,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
463,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
471,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
443,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
469,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
470,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
462,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
473,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
480,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
468,Kootenay / Boundary,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
467,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
477,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
475,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
476,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
478,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
483,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
485,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
486,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
479,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
444,Kootenay / Boundary,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
489,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
488,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
490,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
482,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
481,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
493,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
487,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
491,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
492,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
495,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
497,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
499,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
498,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
502,Omineca,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
501,Skeena,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
506,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
509,Kootenay / Boundary,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
496,Northeast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
512,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
510,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
508,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,All
071,West Coast,-0.0291,6.1154,Stable,Stable or Increasing,Yearly,NA,10 Years
228,West Coast,-0.2186,6.9275,Stable,Stable or Increasing,Yearly,NA,10 Years
316,West Coast,-0.0234,1.8707,Stable,Stable or Increasing,Yearly,NA,10 Years
172,Thompson / Okanagan,-0.1065,15.2209,Stable,Stable or Increasing,Yearly,NA,10 Years
295,West Coast,0.055,9.4172,Stable,Stable or Increasing,Yearly,NA,10 Years
327,West Coast,-0.1411,8.1675,Stable,Stable or Increasing,Yearly,NA,10 Years
217,Kootenay / Boundary,0.0126,2.937,Stable,Stable or Increasing,Yearly,NA,10 Years
045,Thompson / Okanagan,-0.0755,9.6671,Increasing,Stable or Increasing,Yearly,NA,10 Years
074,Kootenay / Boundary,0.1972,26.3737,Stable,Stable or Increasing,Yearly,NA,10 Years
058,West Coast,0.0159,7.9468,Stable,Stable or Increasing,Yearly,NA,10 Years
060,West Coast,-0.0618,9.8436,Stable,Stable or Increasing,Yearly,NA,10 Years
075,Thompson / Okanagan,-0.0181,2.556,Stable,Stable or Increasing,Yearly,NA,10 Years
080,Cariboo,-0.0538,5.0481,Increasing,Stable or Increasing,Yearly,NA,10 Years
035,Thompson / Okanagan,NA,NA,Too many missing observations to perform trend analysis,N/A,Yearly,NA,10 Years
081,Cariboo,-0.3832,5.7648,Stable,Stable or Increasing,Yearly,NA,10 Years
125,West Coast,0.0018,0.4275,Stable,Stable or Increasing,Yearly,NA,10 Years
082,Cariboo,0.0235,6.2603,Stable,Stable or Increasing,Yearly,NA,10 Years
084,Omineca,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,10 Years
088,Cariboo,-0.1456,16.2145,Stable,Stable or Increasing,Yearly,NA,10 Years
233,West Coast,-3e-4,29.9167,Stable,Stable or Increasing,Yearly,NA,10 Years
089,Skeena,-0.0951,32.6854,Increasing,Stable or Increasing,Yearly,NA,10 Years
061,West Coast,NA,NA,Stable,Stable or Increasing,Yearly,NA,10 Years
096,Thompson / Okanagan,-0.0588,4.0791,Stable,Stable or Increasing,Yearly,NA,10 Years
154,Thompson / Okanagan,-0.0312,4.3849,Stable,Stable or Increasing,Yearly,NA,10 Years
152,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,10 Years
484,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,10 Years
299,South Coast,-0.0024,2.8542,Stable,Stable or Increasing,Yearly,NA,10 Years
115,Thompson / Okanagan,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,10 Years
117,Thompson / Okanagan,0.0268,16.6472,Stable,Stable or Increasing,Yearly,NA,10 Years
118,Thompson / Okanagan,-0.1806,16.0363,Increasing,Stable or Increasing,Yearly,NA,10 Years
122,Thompson / Okanagan,-0.2179,2.8807,Increasing,Stable or Increasing,Yearly,NA,10 Years
015,South Coast,-0.0117,8.6941,Stable,Stable or Increasing,Yearly,NA,10 Years
128,West Coast,-0.0256,1.1843,Stable,Stable or Increasing,Yearly,NA,10 Years
124,Northeast,0.0064,19.0303,Stable,Stable or Increasing,Yearly,NA,10 Years
326,West Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,10 Years
065,West Coast,0.0527,2.2104,Moderate Rate of Decline,Moderate Rate of Decline,Yearly,NA,10 Years
008,South Coast,0.0225,18.2458,Stable,Stable or Increasing,Yearly,NA,10 Years
196,West Coast,0.0074,2.1422,Stable,Stable or Increasing,Yearly,NA,10 Years
002,South Coast,0.0288,12.1499,Stable,Stable or Increasing,Yearly,NA,10 Years
200,Skeena,-0.61,26.376,Stable,Stable or Increasing,Yearly,NA,10 Years
201,West Coast,0.0238,6.2587,Stable,Stable or Increasing,Yearly,NA,10 Years
328,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,10 Years
265,West Coast,-0.045,7.3195,Stable,Stable or Increasing,Yearly,NA,10 Years
185,Thompson / Okanagan,0.0127,4.4704,Stable,Stable or Increasing,Yearly,NA,10 Years
240,West Coast,0.0028,5.8889,Stable,Stable or Increasing,Yearly,NA,10 Years
232,West Coast,0.1357,3.5531,Stable,Stable or Increasing,Yearly,NA,10 Years
180,Thompson / Okanagan,0.0892,8.9272,Stable,Stable or Increasing,Yearly,NA,10 Years
397,West Coast,-0.4532,43.2508,Increasing,Stable or Increasing,Yearly,NA,10 Years
203,Thompson / Okanagan,0.068,24.4771,Stable,Stable or Increasing,Yearly,NA,10 Years
204,West Coast,0.0018,2.15,Stable,Stable or Increasing,Yearly,NA,10 Years
211,West Coast,-0.0532,3.1129,Stable,Stable or Increasing,Yearly,NA,10 Years
338,West Coast,-0.1001,31.7175,Stable,Stable or Increasing,Yearly,NA,10 Years
446,South Coast,NA,NA,Recently established well; time series too short for trend analysis,N/A,Yearly,NA,10 Years
310,West Coast,0.2897,6.6196,Stable,Stable or Increasing,Yearly,NA,10 Years
197,West Coast,0.0552,5.9132,Moderate Rate of Decline,Moderate Rate of Decline,Yearly,NA,10 Years
344,Thompson / Okanagan,0.0397,3.3752,Stable,Stable or Increasing,Yearly,NA,10 Years
346,Thompson / Okanagan,NA,NA,Stable,Stable or Increasing,Yearly,NA,10 Years
320,West Coast,-0.0889,24.263,Stable,Stable or Increasing,Yearly,NA,10 Years
